Gene	beta	fdr	dataset	hit_class	direction	unique_hit
RNASEH2A	0.39388	0.08209	top4	other	UP	0
RNMT	-0.85388	0	top4	all	DOWN	0
RPL11	0.41759	0.051546	top4	other	UP	0
RPS13	-0.58324	0	top4	other	DOWN	0
RPS14	-0.49675	0	top4	other	DOWN	0
RPS29	-0.38935	0.07874	top4	top4	DOWN	1
RPS3	-0.44579	0.036585	top4	top4	DOWN	1
RPS4X	0.42342	0.051546	top4	other	UP	0
RPSA	-0.48142	0	top4	other	DOWN	0
RRAGC	-0.36968	0.096154	top4	other	DOWN	0
RRP9	0.47247	0.026316	top4	other	UP	0
RTDR1	-0.44903	0.026316	top4	other	DOWN	0
SF3A2	0.39021	0.096154	top4	other	UP	0
SLC35A2	-0.76869	0	top4	all	DOWN	0
SLMO2	-0.62737	0	top4	all	DOWN	0
SMDT1	-0.72078	0	top4	all	DOWN	0
SNAPC4	-0.53446	0	top4	all	DOWN	0
SNRNP25	-0.5173	0	top4	all	DOWN	0
SNRPA1	-0.38485	0.07874	top4	top4	DOWN	1
SNRPF	0.47441	0.026316	top4	top4	UP	1
SNW1	0.42942	0.044444	top4	other	UP	0
SRCAP	-0.5247	0	top4	other	DOWN	0
SSBP1	0.44632	0.036585	top4	all	UP	0
TAF1B	-0.43491	0.051546	top4	all	DOWN	0
TAF2	0.44788	0.036585	top4	other	UP	0
TAF6L	-0.41077	0.06422	top4	other	DOWN	0
TARDBP	0.83017	0	top4	all	UP	0
TIPRL	-0.40764	0.070796	top4	other	DOWN	0
TMEM165	-0.55213	0	top4	all	DOWN	0
TOP3A	-0.58761	0	top4	all	DOWN	0
TRMT112	-0.61657	0	top4	all	DOWN	0
TSC1	-0.55031	0	top4	all	DOWN	0
TSC2	-0.81887	0	top4	all	DOWN	0
TSTA3	0.38912	0.096154	top4	other	UP	0
TTC14	-0.38118	0.08209	top4	other	DOWN	0
TUBB	-0.44301	0.044444	top4	other	DOWN	0
TUFM	0.55166	0.026316	top4	other	UP	0
UGP2	-0.65562	0	top4	all	DOWN	0
USP7	-0.43245	0.055556	top4	other	DOWN	0
VPS35	0.50439	0.026316	top4	all	UP	0
VPS4A	-0.36997	0.096154	top4	all	DOWN	0
WDR55	-0.36593	0.096154	top4	other	DOWN	0
XRCC3	0.45254	0.026316	top4	other	UP	0
ZMYND8	0.42575	0.051546	top4	other	UP	0
ZNF131	0.39865	0.076923	top4	top4	UP	1
ABCB7	-0.37511	0.04902	top5	other	DOWN	0
ABCF1	-0.3626	0.053846	top5	top5	DOWN	1
ABL1	-0.61095	0	top5	all	DOWN	0
AK6	-0.59605	0	top5	all	DOWN	0
ALG11	0.39466	0.052174	top5	top5	UP	1
ALG2	0.59469	0	top5	all	UP	0
ANKIB1	-0.34899	0.070922	top5	other	DOWN	0
ANKRD11	0.32369	0.093333	top5	top5	UP	1
ARL1	-0.3523	0.066176	top5	top5	DOWN	1
